action_id,timestamp,gyro_x,gyro_y,gyro_z,accel_x,accel_y,accel_z,action_label
1,1199,0.748,-0.3978,0.9577,1.5251,10.2568,-3.4261,right
1,1212,1.008,-0.3203,1.1362,1.8411,10.8553,-4.379,right
1,1238,0.3914,-1.1032,1.1882,1.5371,10.8553,-6.6487,right
1,1251,-0.1852,-1.6369,1.0251,1.3336,10.0149,-6.3973,right
1,1264,-0.5601,-1.8738,0.9188,0.7805,9.7947,-5.6647,right
1,1290,-0.4175,-2.0744,1.3912,-0.6345,13.7834,-5.0302,right
1,1303,0.1092,-2.4589,1.6843,0.8404,14.9518,-3.7589,right
1,1316,0.6555,-3.0313,1.7933,1.494,16.5248,-3.2394,right
1,1342,-2.6105,-3.3481,0.6155,10.7548,16.8456,-1.6544,right
1,1355,-3.5725,-1.1231,-0.7163,7.2927,14.437,2.1859,right
1,1368,-2.7632,-1.5609,-1.1887,-0.1053,10.5872,8.5904,right
1,1394,1.3121,-1.8255,0.154,0.7015,10.082,2.083,right
2,1212,-1.6334,-1.5977,-0.9598,-0.1748,8.7221,1.6879,right
2,1238,-0.0861,-1.7989,0.2148,-0.2227,10.1179,0.3256,right
2,1251,0.797,-1.1911,0.4445,0.5315,9.7875,-0.6728,right
2,1264,1.4226,-0.7671,0.3968,0.6105,8.6191,-1.6017,right
2,1277,1.6366,-0.7075,0.3208,-0.079,7.8817,-2.739,right
2,1303,0.8783,-0.4541,0.4602,1.9058,6.3231,-3.6152,right
2,1316,0.3968,-0.052,0.4021,2.2721,6.4141,-3.6464,right
2,1329,-0.0211,-0.1037,0.3219,2.5642,6.3805,-3.3543,right
2,1342,-0.2894,-0.3155,0.227,3.213,6.3949,-2.9975,right
2,1368,-0.5905,-0.7746,0.0472,3.9911,7.0868,-2.3942,right
2,1381,-0.6243,-1.0802,-0.0421,4.0223,7.592,-2.2027,right
2,1407,-0.4599,-1.3272,-0.1138,3.7254,7.8769,-2.466,right
3,81,1.2894,0.3627,0.5201,-6.5864,3.8738,-8.4563,jump
3,692,1.3062,0.2038,0.7024,-10.9894,15.2415,-25.0266,jump
3,731,1.6054,0.1154,0.6811,-10.0963,8.4013,-14.1617,jump
3,1498,-0.6243,-0.6201,0.5462,-3.2154,3.644,-7.1515,jump
3,68,1.247,0.2923,0.3789,-6.505,3.6129,-7.2664,jump
3,1199,-0.3477,-1.2545,-0.8487,-2.5498,6.3805,-2.5402,jump
3,315,-2.4149,-1.3939,-0.223,-4.4293,8.3917,-1.5467,jump
3,1147,0.1612,-0.2105,0.7802,-0.1772,-0.6752,0.1293,jump
3,120,0.5931,0.2942,0.9811,-4.9512,4.4843,-10.9774,jump
3,835,-4.9213,-0.7424,-1.2356,1.1372,-1.8531,1.7765,jump
3,796,-1.5396,0.4554,-0.3315,-1.0918,4.3479,-6.1483,jump
3,471,-1.2004,0.0815,-0.1404,1.8818,4.4149,0.4022,jump
4,250,0.6795,-0.7989,1.2327,-8.7987,12.639,-4.5059,straight
4,16,-0.2611,0.1327,-0.0216,-3.5674,4.9033,-2.4277,straight
4,198,-0.0933,-0.1609,0.7954,-4.3359,10.3884,-3.0454,straight
4,42,-0.218,-0.1252,0.1535,-4.4508,4.4005,-3.2681,straight
4,237,0.5185,-0.7608,1.0872,-6.9288,10.7907,-4.5226,straight
4,341,-0.4303,0.1974,0.1026,-5.0111,11.1809,-1.4557,straight
