action_id,timestamp,gyro_x,gyro_y,gyro_z,accel_x,accel_y,accel_z,action_label
1,2,0.8820,0.3118,0.1935,0.1820,5.4564,-1.5993,jump
1,16,1.1487,0.5660,-0.2244,-1.3719,10.6781,-2.9497,jump
1,29,0.9910,0.8940,-0.6656,-2.7916,16.5751,-3.6943,jump
1,42,0.8426,1.2612,-0.8839,-4.4843,18.2127,-4.0965,jump
1,55,0.7882,1.1397,-0.8023,-5.1834,17.8344,-5.1404,jump
1,68,0.5814,0.9491,-0.5508,-6.7612,17.4777,-6.6463,jump
1,81,0.3232,0.8700,-0.1903,-6.8259,16.8360,-7.7189,jump
1,94,0.0871,0.7847,-0.1577,-6.4739,16.6732,-7.6758,jump
1,107,-0.1865,0.5625,-0.2340,-7.0102,16.8169,-7.3023,jump
1,120,-0.2966,0.3011,-0.2766,-7.8626,16.3835,-6.1842,jump
1,133,-0.0181,0.0658,-0.0738,-9.1866,16.1824,-5.3678,jump
1,146,0.5361,0.0640,0.1887,-9.0932,17.1185,-5.4300,jump
1,159,0.9827,0.0714,0.2681,-8.0230,19.0147,-6.3398,jump
1,172,1.2414,-0.0192,0.2747,-6.7924,20.7290,-7.9368,jump
1,185,1.4192,-0.0394,0.3086,-6.6056,22.6180,-9.4068,jump
1,198,1.4605,-0.0389,0.2894,-6.2441,24.2174,-11.1115,jump
1,211,1.1716,0.2491,0.0626,-6.3590,24.6339,-13.1921,jump
1,224,0.6955,0.5444,-0.1095,-6.9839,23.5949,-14.2503,jump
1,237,0.3986,0.5692,-0.1196,-7.5178,21.1983,-13.3237,jump
1,250,0.4112,0.2006,0.0714,-8.0948,18.8232,-10.6877,jump
1,263,0.7765,-0.2459,0.3869,-8.1283,16.6325,-8.2432,jump
1,276,1.1037,-0.5873,0.5958,-7.3765,14.4514,-6.9767,jump
1,289,0.9462,-0.8671,0.6699,-6.7205,12.4810,-6.2680,jump
1,302,0.4213,-1.1303,0.8407,-6.1004,10.4842,-4.5442,jump
1,315,-0.0522,-1.2758,0.9902,-5.5306,7.7428,-2.8084,jump
1,328,-0.4493,-1.4224,1.1021,-4.9704,5.0542,-1.3168,jump
1,341,-0.6952,-1.3078,1.2329,-3.6655,3.2010,0.4788,jump
1,354,-0.6976,-0.8926,1.3971,-1.0199,0.7159,3.0598,jump
1,367,-0.5913,-0.3757,1.6747,0.7422,-1.8962,4.2425,jump
1,380,-0.2300,0.1183,1.7656,1.4820,-3.7445,4.6328,jump
1,393,0.1953,0.2675,1.5202,2.0135,-4.4101,4.2904,jump
1,406,0.4037,0.4074,1.0544,2.8012,-5.1092,3.6464,jump
1,419,0.4738,1.0126,0.6622,4.3215,-4.5059,3.2154,jump
1,432,0.5524,1.4583,0.1410,5.8275,-2.5043,3.4644,jump
1,445,1.1612,1.2713,-0.4618,5.4971,0.5722,1.8723,jump
1,458,1.8207,1.2207,-1.0528,3.1747,2.2218,-0.9433,jump
1,471,1.8050,1.2281,-1.5612,1.6879,2.6767,-3.7661,jump
1,484,1.0182,1.6379,-1.8903,0.8308,1.6640,-5.7245,jump
1,497,-0.2257,2.1256,-1.7603,-0.5698,0.3328,-5.7820,jump
1,510,-1.1735,1.7744,-1.4373,-0.5411,-0.6153,-3.4860,jump
1,523,-1.5063,0.7773,-1.1111,-0.1963,-1.4820,-1.2833,jump
1,536,-1.4541,-0.2601,-0.7546,-0.1963,-2.1787,0.2586,jump
1,549,-1.0272,-0.7213,-0.3840,0.1317,-1.9752,1.2139,jump
1,562,-0.2984,-0.4730,-0.1188,0.1197,-1.3336,1.3886,jump
1,575,0.2451,-0.1980,0.1132,-0.4118,-0.3663,0.9170,jump
